30,x,y,z,type,nomalvalue,trapvalue,environment,cardType
0,0,0,0,start,0,0,shallows,0
1,5,0,0,draw,1,0,,0
2,10,0,0,draw,1,0,,0
3,15,0,0,draw,1,0,,0
4,20,0,0,trap1,1,2,,0
5,20,0,5,draw,1,0,,0
6,20,0,10,draw,2,0,shoal,0
7,25,0,10,trap1,3,2,,0
8,30,0,10,advance,4,0,,0
9,35,0,10,event,0,0,,0
10,40,0,10,trap2,2,2,,0
11,40,0,5,advance,2,0,,0
12,40,0,0,draw,1,0,,0
13,45,0,0,draw,3,0,,0
14,50,0,0,event,0,0,,0
15,55,0,0,trap1,1,1,,0
16,60,0,0,draw,1,0,,0
17,65,0,0,draw,1,0,,0
18,70,0,0,advance,1,0,,0
19,75,0,0,draw,1,0,,0
20,80,0,0,draw,2,0,,0
21,85,0,0,trap2,1,2,deep,0
22,90,0,0,draw,2,0,,0
23,95,0,0,draw,1,0,,0
24,100,0,0,advance,1,0,,0
25,105,0,0,draw,2,0,,0
26,110,0,0,trap2,2,3,,0
27,115,0,0,draw,1,0,,0
28,120,0,0,draw,1,0,,0
29,125,0,0,goal,0,0,,0
